"country","year","participare_social_media","daily_internet_use","venit_mediu_gospodarie","gini","educatie_superioara","abilitati_digitale","nivel_acces_internet","nefolosire_internet"
"RO",2019,60.18,56.7,14053.5909120493,0.338954627513885,18.4,30.97,83.61,17.66
"RO",2020,64.85,62.09,15980.8556210193,0.341663509607315,18.7,NA,86.24,14.05
"RO",2021,68.55,68.81,17936.52997121,0.316957503557205,18.8,27.82,88.74,11.36
"RO",2022,69.01,77.17,19992.6075935052,0.310148775577545,19.7,NA,89.41,10.35
"RS",2017,47.68,62.02,NA,NA,22.7,38.87,68.03,25.77
"RS",2018,51.57,67.67,NA,NA,23.6,NA,72.91,24.24
"RS",2019,54.82,72.19,NA,NA,23.9,45.72,80.14,19.36
"RS",2020,57.47,72.71,NA,NA,24.1,NA,80.95,17.43
"RS",2021,60.31,74.95,NA,NA,25.4,41.3,81.51,10.43
"RS",2022,68.38,81.51,NA,NA,26.2,NA,83.24,10.62
"RU",2017,NA,NA,18911.980199084,0.317,NA,NA,NA,NA
"SE",2017,70.75,90.07,33955.8593296471,0.28183,41.9,77.2,94.73,2.25
"SE",2018,70.36,87.84,34794.4922228832,0.273,43.2,NA,93.42,4.31
"SE",2019,72.22,91.42,36483.1805864235,0.277,44,72.42,96.06,1.81
"SE",2020,72.9,92.23,37276.2834175847,0.276,44.6,NA,93.94,1.19
"SE",2021,71.51,92.03,40040.8923080433,0.286,46.6,66.6,93.23,1.37
"SE",2022,71.08,94.56,44513.1990395094,0.29,48.5,NA,94.33,1.13
"SI",2017,45.16,68.25,24619.8188800839,0.242699280381203,32.5,54,81.74,17.62
"SI",2018,48.81,71.08,26773.9457121891,0.248633503913879,32.5,NA,86.68,16.02
"SI",2019,52.09,74.17,28917.0499708177,0.245734617114067,33.3,55.13,88.96,13
"SI",2020,67.07,76.32,30612.7914620263,0.238136291503906,35.9,NA,89.97,11.12
"SI",2021,63.61,84.75,33094.542881846,0.24060794711113,40.3,49.67,93.04,7.82
"SI",2022,63.04,85.64,37308.2125789049,0.243554994463921,40.1,NA,92.6,8.62
"SK",2017,58.74,69.37,15328.3880676707,0.219974979758263,23.1,59.01,81.33,14.04
"SK",2018,59.84,67.85,16425.8535960701,0.238384887576103,24.6,NA,80.84,13.35
"SK",2019,59.24,75.76,17646.958132967,0.222391024231911,25.8,53.87,82.19,11.71
"SK",2020,64.49,79.88,18149.0455551768,0.229294419288635,26.8,NA,85.78,6.74
"SK",2021,64.58,80.01,19577.3487502653,0.216635778546333,27.9,55.18,89.96,7.75
"SK",2022,57.68,82.82,20549.8396543362,0.226998060941696,29.2,NA,90.65,7.48
"TR",2017,54.14,56.85,14273.5675200855,0.409403,18.6,34.11,80.74,33.15
"TR",2018,59.76,62.97,14614.4312234465,0.397035,19.3,NA,83.79,27.11
"TR",2019,60.18,67.18,15440.9667055209,0.414758,20.5,35.81,88.3,24.66
"TR",2020,62.31,70.84,14474.6874017455,0.402874,22,NA,90.73,21.02
"TR",2021,60.08,76.51,16513.0311205389,0.433142,23,30.12,91.98,17.37
"TR",2022,70.85,80.02,18329.0270485272,0.427148,23.6,NA,94.15,14.99
"UK",2017,71.22,85.12,29079.1375986976,0.357,42.7,70.55,93.99,3.9
"UK",2018,69.75,90.54,30294.4575010323,0.366,43.2,NA,94.85,4.31
"UK",2019,73.13,91.46,33029.1684224794,0.366,44.7,73.89,95.85,3.17
"UK",2020,75.71,93.53,32332.9464973842,0.355,NA,NA,97.3,1.53
"UK",2021,NA,NA,34255.9827108774,0.354064263,NA,NA,NA,NA
"UK",2022,NA,NA,40542.9659370054,0.364765613,NA,NA,NA,NA
"US",2017,NA,NA,44110,0.3899,NA,NA,NA,NA
"US",2018,NA,NA,49240,0.3927,NA,NA,NA,NA
"US",2019,NA,NA,53600,0.3949,NA,NA,NA,NA
"US",2020,NA,NA,55650,0.3773,NA,NA,NA,NA
"US",2021,NA,NA,57680,0.3752,NA,NA,NA,NA
"US",2022,NA,NA,58020,0.3961,NA,NA,NA,NA
"XK",2017,56.5,75.7,NA,NA,NA,21.06,88.77,13.05
"XK",2018,63.27,82.23,NA,NA,NA,NA,93.2,10.78
"XK",2019,67.9,87.46,NA,NA,NA,27.57,93.19,8.06
"XK",2020,82.97,92.88,NA,NA,NA,NA,96.44,2.38
"ZA",2017,NA,NA,11753.0644238911,0.617578538,NA,NA,NA,NA
